Modell;Ausstattungslinie;Motor;Kategorie;Kraftstoff;l/100km;kWh/100km;Preis
Taigo;Style;1.0 TSI | 85 kW | 7-Gang-DSG;Verbrenner;Benzin;5.7;0.0;33715.00
Taigo;Style;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;36115.00
Tayron;Elegance;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0;51585.00
Tayron;Elegance;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.6;0.0;54120.00
Tayron;Elegance;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.4;0.0;60050.00
Tayron;Elegance;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.7;0.0;56980.00
Tayron;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.0;0.0;46925.00
Tayron;Life;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.4;0.0;49460.00
Tayron;Life;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.3;0.0;55390.00
Tayron;Life;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.5;0.0;52320.00
Tayron;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.2;0.0;53430.00
Tayron;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.6;0.0;55965.00
Tayron;R-Line;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.4;0.0;61895.00
Tayron;R-Line;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.7;0.0;58825.00
Tayron;R-Line 195;2.0 TSI | 4MOTION | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;8.5;0.0;65340.00
Tiguan;Elegance;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.6;13.9;57360.00
Tiguan;Elegance;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0;49310.00
Tiguan;Elegance;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.5;0.0;51845.00
Tiguan;Elegance;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.4;0.0;57775.00
Tiguan;Elegance;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.6;0.0;54705.00
Tiguan;Energy;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.4;13.6;54680.00
Tiguan;Energy;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;46775.00
Tiguan;Energy;1.5 eTSI | 96 kW | 7-Gang-DSG;Verbrenner;Benzin;5.9;0.0;44695.00
Tiguan;Energy;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.3;0.0;49310.00
Tiguan;Energy;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.1;0.0;55240.00
Tiguan;Energy;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.6;0.0;52170.00
Tiguan;Life;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.0;0.0;44165.00
Tiguan;Life;1.5 eTSI | 96 kW | 7-Gang-DSG;Verbrenner;Benzin;5.8;0.0;42085.00
Tiguan;Life;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.4;0.0;46700.00
Tiguan;Life;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.1;0.0;52630.00
Tiguan;Life;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.4;0.0;49560.00
Tiguan;R-Line;1.5 eHybrid | 110 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.6;13.7;59820.00
Tiguan;R-Line;1.5 eHybrid | 130 kW | 6-Gang-DSG;Elektro/Hybrid;Hybrid;1.6;13.6;62110.00
Tiguan;R-Line;1.5 eTSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.1;0.0;51770.00
Tiguan;R-Line;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.5;0.0;54305.00
Tiguan;R-Line;2.0 TDI | 4MOTION | 142 kW | 7-Gang-DSG;Verbrenner;Diesel;6.3;0.0;60235.00
Tiguan;R-Line;2.0 TSI | 4MOTION | 150 kW | 7-Gang-DSG;Verbrenner;Benzin;7.6;0.0;57165.00
Tiguan;R-Line 195;2.0 TSI | 4MOTION | 195 kW | 7-Gang-DSG;Verbrenner;Benzin;8.4;0.0;63740.00
Touareg;Elegance Final Edition;3.0 V6 TDI | 4MOTION | 170 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.6;0.0;81505.00
Touareg;Elegance Final Edition;3.0 V6 TDI | 4MOTION | 210 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.4;0.0;85810.00
Touareg;R-Line Final Edition;3.0 V6 TDI | 4MOTION | 170 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.6;0.0;86255.00
Touareg;R-Line Final Edition;3.0 V6 TDI | 4MOTION | 210 kW | 8-Gang-Automatik;Verbrenner;Diesel;8.5;0.0;90560.00
Touran;Comfortline;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.5;0.0;41995.00
Touran;Comfortline;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.7;0.0;44410.00
Touran;Comfortline;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.5;0.0;48350.00
Touran;Comfortline;2.0 TDI | 90 kW | 6-Gang;Verbrenner;Diesel;5.4;0.0;43095.00
Touran;Energy;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.6;0.0;43760.00
Touran;Energy;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.6;0.0;46175.00
Touran;Energy;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.5;0.0;50115.00
Touran;Energy;2.0 TDI | 90 kW | 6-Gang;Verbrenner;Diesel;5.3;0.0;44860.00
Touran;Highline;1.5 TSI | 110 kW | 6-Gang;Verbrenner;Benzin;6.4;0.0;46470.00
Touran;Highline;1.5 TSI | 110 kW | 7-Gang-DSG;Verbrenner;Benzin;6.4;0.0;48885.00
Touran;Highline;2.0 TDI | 110 kW | 7-Gang-DSG;Verbrenner;Diesel;5.4;0.0;52825.00
